characteristic	carbon_n_72	control_n_72	nitrogen_n_72	p_value...5	corn_n_108	miscanthus_n_108	p_value...8	x0n_n_72	x112n_n_72	x336n_n_72	p_value...12
log_012	8.79	8.85	8.80	0.9	8.74	8.88	0.023	8.83	8.84	8.76	0.2
ave_012	862,100,000	829,875,000	861,434,583	0.9	739,183,611	963,089,444	0.022	905,314,583	878,092,917	770,002,083	0.2
log_025	7.75	7.80	7.79	0.8	7.72	7.85	0.13	7.46	7.88	8.01	<0.001
ave_025	83,248,389	88,332,639	91,251,931	0.8	76,143,546	99,078,426	0.13	35,780,472	89,543,458	137,509,028	<0.001
log_039	8.51	8.55	8.52	0.9	8.60	8.45	<0.001	8.54	8.56	8.48	0.7
ave_039	449,845,556	443,175,139	438,174,444	0.9	516,154,444	371,308,981	<0.001	460,624,583	448,508,472	422,062,083	0.7
F1R2_log	6.94	6.99	7.01	0.7	6.94	7.02	0.5	6.74	7.05	7.16	<0.001
F1R2_ave	14,234,433	14,862,853	16,011,639	0.7	13,101,673	16,970,944	0.5	7,104,518	14,304,917	23,699,490	<0.001
ave_sum	1,395,193,944	1,361,382,778	1,390,860,958	0.9	1,331,481,602	1,433,476,852	0.8	1,401,719,639	1,416,144,847	1,329,573,194	0.7
log_sum	9.02	9.07	9.03	0.9	9.02	9.06	0.8	9.04	9.07	9.01	0.6
norB.001	1,510,408,750	1,511,919,444	1,547,448,611	>0.9	1,202,564,167	1,843,953,704	<0.001	1,576,574,028	1,499,544,444	1,493,658,333	0.3
log_norB.001	20.88	20.98	20.93	>0.9	20.67	21.19	<0.001	20.98	20.95	20.86	0.3
norB.006	3,062,401,250	2,872,925,000	2,981,622,222	0.9	2,991,771,204	2,952,861,111	0.7	3,170,577,639	3,220,590,278	2,525,780,556	0.064
log_norB.006	21.41	21.44	21.43	0.9	21.42	21.43	0.7	21.53	21.61	21.15	0.064
cnorB	1,097,846,111	1,075,576,389	1,111,570,833	0.9	975,382,593	1,214,612,963	0.001	1,120,746,111	1,152,522,222	1,011,725,000	0.043
log_cnorB	20.60	20.66	20.65	0.9	20.48	20.80	0.001	20.67	20.72	20.53	0.043
norb_sum	4,572,810,000	4,384,844,444	4,529,070,833	>0.9	4,194,335,370	4,796,814,815	0.15	4,747,151,667	4,720,134,722	4,019,438,889	0.2
log_norb_sum	21.94	21.99	21.96	>0.9	21.84	22.09	0.15	22.03	22.07	21.79	0.2
